54,14,66814.194577,2000,40200
40,12,42144.338118,0,58640
35,14,25697.767145,160,19610
55,12,35976.874003,19100,8000
40,12,39060.606061,8300,21000
82,12,13362.838915,0,0
26,16,61674.641148,0,31000
50,14,53451.355662,0,60600
71,12,16446.570973,0,0
70,6,9867.9425837,0,9800
52,12,35976.874003,3000,92000
53,11,7195.3748006,0,3400
27,16,78121.212121,8000,36200
27,12,28781.499203,0,1500
69,12,12334.92823,1600,0
55,17,459476.07656,0,0
42,14,54479.266348,55,147400
73,12,43172.248804,2000,0
76,12,69897.926635,0,0
43,12,58590.909091,1700,230000
48,11,52423.444976,1200,18810
57,12,25697.767145,900,32340
44,16,51395.53429,1780,17300
44,15,87372.408293,32700,66000
59,13,59618.819777,0,0
47,14,25697.767145,730,125900
25,14,26725.677831,1500,600
28,16,71953.748006,11830,142000
74,12,48311.802233,0,0
62,11,6475.8373206,250,840
23,12,28781.499203,340,30
40,14,71953.748006,0,43300
44,13,3700.4784689,1000,0
65,11,26725.677831,6000,0
35,17,54479.266348,9310,159500
40,13,66814.194577,380,4400
33,11,28781.499203,0,780
21,11,513.9553429,20,400
63,13,41116.427432,0,5100
52,17,57562.998405,0,92000
24,14,28781.499203,0,1300
29,14,9251.1961722,20000,0
46,14,92511.961721999993,1500,137100
38,12,11307.017544,40,5450
34,13,7400.9569378,0,6000
47,12,30837.320574,0,16600
49,14,37004.784689,2300,2100
83,12,25697.767145,1800,300
50,16,25697.767145,350,84770
68,16,104846.88995,7100,181400
83,14,58590.909091,0,0
28,17,61674.641148,0,98000
45,12,20558.213716,530,650
57,11,33921.052632,3000,900
50,12,169605.26316,0,78100
49,14,37004.784689,2300,2100
40,14,153158.69219,0,16000
29,13,15418.660287,3000,73000
59,15,15418.660287,1850,0
69,6,12334.92823,0,20900
44,12,53451.355662,1050,60200
59,12,38032.695375,1200,139900
22,14,15418.660287,0,13400
40,16,925119.61722,0,340000
68,14,44200.15949,50000,0
52,16,81204.944179,0,93500
39,16,47283.891547,3000,8800
43,16,144935.4067,15300,180600
28,13,75037.480064,50,40000
40,12,123349.2823,6000,162900
77,12,12334.92823,12390,0
78,16,34948.963317,100,0
58,8,12334.92823,1200,108000
37,14,14390.749601,0,0
78,12,11307.017544,0,940
56,14,37004.784689,0,11030
28,12,28781.499203,300,1200
83,12,14390.749601,20000,20
48,16,41116.427432,5000,21200
24,9,8223.2854864,0,0
57,13,113070.17544,3500,59000
29,16,37004.784689,100,62000
36,17,63730.46252,0,115000
24,11,24669.856459,0,0
79,16,25697.767145,0,0
40,17,12334.92823,0,0
51,16,81204.944179,0,188000
49,12,8223.2854864,500,72550
44,14,177828.54864,0,254400
25,15,40088.516746,0,13480
55,17,87372.408293,96000,0
48,6,35976.874003,0,55990
40,14,46255.980860999996,0,52500
68,12,27753.588517,8000,0
45,12,56535.087719,505,93040
25,14,4625.5980861,0,0
50,17,50367.623604,1850,18000
67,14,66814.194577,0,300
30,14,52423.444976,0,79800
28,12,37004.784689,0,20000
21,15,11307.017544,340,0
31,16,149047.04944,2300,220500
42,17,12334.92823,0,1000
29,14,38032.695375,0,14100
23,14,25697.767145,1,24700
36,13,31865.23126,0,0
40,16,28781.499203,400,0
58,13,113070.17544,10000,254000
52,12,117181.81818,21000,840
38,13,33921.052632,0,3020
78,16,64758.373206,1500,18600
40,12,113070.17544,1500,220300
